frame,total_vehicles,queue_count,red_light_violations,rash_driving
1,5,18,1,1
2,7,7,2,1
3,8,20,3,2
4,11,14,4,3
5,14,0,5,4
6,14,13,6,5
7,18,4,7,6
8,21,12,7,6
9,26,19,8,7
10,26,18,9,7
11,26,17,9,8
12,26,0,9,8
13,30,9,10,9
14,34,2,11,10
15,38,9,12,10
16,39,13,13,11
17,44,8,14,12
18,47,12,15,13
19,51,8,16,14
20,56,5,16,14
21,59,10,17,14
22,63,1,17,14
23,68,0,17,14
24,72,15,18,15
25,76,13,18,16
26,76,12,19,17
27,79,17,20,17
28,79,7,21,18
29,81,9,21,19
30,84,10,22,19
31,87,10,23,19
32,92,0,24,19
33,97,3,24,19
34,102,15,25,20
35,107,10,26,21
36,110,14,27,21
37,112,12,28,21
38,113,7,28,21
39,117,9,28,22
40,118,17,28,22
41,118,0,28,23
42,120,14,29,24
43,123,10,30,24
44,123,5,30,24
45,123,10,31,24
46,128,0,31,25
47,130,20,32,26
48,130,15,32,26
49,132,9,33,27
50,137,3,34,27
51,142,19,34,27
52,142,9,34,28
53,144,20,35,28
54,146,4,36,29
55,146,6,37,29
56,146,13,38,29
57,150,7,38,30
58,155,0,38,30
59,156,7,38,31
60,159,7,39,31
61,164,11,40,32
62,167,3,40,32
63,169,9,41,33
64,170,14,42,33
65,170,6,42,34
66,170,12,42,35
67,171,5,43,36
68,172,14,43,37
69,177,15,43,38
70,178,18,43,39
71,180,12,43,39
72,185,0,44,40
73,187,4,44,40
74,192,16,44,40
75,192,19,45,41
76,197,19,46,41
77,198,5,46,41
78,201,2,46,42
79,203,14,47,42
80,208,7,47,42
81,210,1,48,42
82,214,5,48,42
83,219,16,49,42
84,220,17,49,42
85,220,16,50,42
86,222,11,50,42
87,224,9,51,43
88,228,2,51,43
89,231,19,51,43
90,231,19,52,44
91,231,1,53,45
92,235,16,54,46
93,239,0,54,47
94,240,6,54,48
95,245,11,55,48
96,248,5,56,49
97,250,18,56,49
98,250,6,56,49
99,253,17,57,50
100,257,2,58,51
101,261,5,59,51
102,262,19,59,52
103,267,18,60,52
104,267,15,61,53
105,267,13,62,53
106,269,6,63,53
107,273,2,63,54
108,278,7,63,54
109,282,1,64,55
110,285,16,64,55
111,287,15,65,55
112,292,14,66,55
113,295,11,67,56
114,297,8,68,57
115,302,7,69,57
116,307,0,70,57
117,311,12,70,58
118,315,12,70,59
119,316,3,71,59
120,318,20,71,59
121,321,5,71,59
122,321,17,72,59
123,325,6,72,60
124,327,8,72,61
125,330,17,72,62
126,331,12,73,62
127,332,3,73,63
128,336,6,74,63
129,338,19,75,64
130,338,14,75,65
131,343,10,75,65
132,346,7,76,66
133,347,2,77,67
134,351,4,78,68
135,353,17,79,69
136,354,19,79,70
137,357,4,79,70
138,361,14,79,71
139,365,6,80,71
140,370,12,80,71
141,374,17,81,72
142,378,14,81,72
143,381,19,82,72
144,381,0,82,73
145,385,6,82,73
146,388,2,82,73
147,390,8,83,73
148,395,1,83,74
149,396,3,84,74
150,401,18,85,75
151,403,6,86,75
152,405,12,87,75
153,409,12,87,75
154,410,10,87,76
155,411,1,87,77
156,411,10,88,77
157,412,18,88,78
158,413,18,89,78
159,413,15,90,79
160,418,13,90,80
161,423,15,91,81
162,423,4,91,81
163,423,16,91,82
164,427,11,92,82
165,427,9,93,83
166,430,1,94,83
167,435,0,94,83
168,440,14,94,84
169,440,11,94,84
170,445,9,94,85
171,447,16,94,85
172,451,5,94,85
173,452,16,95,85
174,457,1,95,85
175,458,9,95,86
176,463,1,96,87
177,467,18,97,88
178,470,10,97,89
179,475,0,97,89
180,475,3,98,90
181,478,6,99,91
182,481,8,100,92
183,486,16,101,92
184,490,17,102,92
185,492,20,103,92
186,496,17,103,92
187,499,3,103,92
188,503,5,103,93
189,503,10,104,94
190,507,16,104,95
191,508,4,104,96
192,513,19,105,97
193,518,1,105,98
194,523,4,105,98
195,527,9,106,99
196,527,17,106,100
197,531,8,106,101
198,531,17,106,102
199,535,4,107,103
200,540,2,107,104
201,541,13,107,104
202,542,20,107,105
203,546,15,108,105
204,547,14,109,106
205,547,4,110,106
