frame,total_vehicles,queue_count,red_light_violations,rash_driving
1,1,0,0,0
2,3,11,0,0
3,8,17,0,0
4,8,12,0,0
5,13,7,1,0
6,13,4,2,1
7,18,18,2,1
8,18,19,2,2
9,23,6,2,2
10,27,2,3,2
11,31,18,4,2
12,34,17,5,3
13,34,7,5,3
14,35,13,5,4
15,40,20,6,4
16,43,7,6,4
17,46,9,6,5
18,47,12,6,6
19,51,0,7,7
20,52,10,8,7
21,53,14,8,7
22,55,3,8,8
23,57,8,9,8
24,57,13,10,8
25,62,7,11,9
26,62,10,11,9
27,66,11,11,9
28,70,16,12,10
29,72,0,12,10
30,77,0,12,11
31,81,0,12,12
32,84,1,12,12
33,85,7,12,12
34,86,12,13,12
35,88,18,14,13
36,90,15,15,13
37,92,9,15,14
38,93,7,15,15
39,97,7,15,16
40,102,1,16,17
41,103,19,16,18
42,107,4,16,19
43,110,4,17,19
44,112,14,18,20
45,117,9,18,21
46,122,13,18,21
47,125,8,19,22
48,126,16,19,22
49,131,7,19,23
50,132,11,19,24
51,137,1,19,24
52,142,3,20,24
53,144,2,20,24
54,146,12,21,24
55,150,13,21,25
56,152,5,21,25
57,154,10,21,26
58,154,6,21,27
59,159,14,21,28
60,163,0,22,29
61,166,3,23,29
62,171,13,23,30
63,172,11,24,31
64,177,11,25,32
65,182,8,26,32
66,186,20,27,33
67,187,4,27,33
68,190,10,27,34
69,191,1,28,34
70,195,20,28,34
71,195,5,29,35
72,200,8,30,36
73,204,4,31,36
74,205,12,31,36
75,206,17,32,37
76,209,6,32,37
77,209,7,32,37
78,209,10,32,38
79,209,19,32,38
80,212,19,32,38
81,216,8,33,38
82,216,14,34,38
83,216,10,35,38
84,220,12,35,38
85,222,12,35,39
86,225,9,36,39
87,229,9,37,39
88,231,4,38,40
89,234,19,39,40
90,237,9,39,41
91,242,13,40,42
92,246,6,40,43
93,250,16,40,44
94,255,15,41,45
95,257,7,41,45
96,262,11,41,46
97,262,14,41,47
98,264,11,41,47
99,266,12,41,48
100,266,0,42,48
101,271,6,42,48
102,276,7,42,48
103,278,20,43,49
104,280,3,43,49
105,281,20,43,49
106,284,13,43,50
107,286,7,44,50
108,288,15,45,50
109,289,1,45,51
110,294,8,46,52
111,297,6,47,52
112,302,12,47,53
113,305,5,47,53
114,309,12,47,53
115,314,8,47,53
116,319,20,48,53
117,320,15,48,53
118,321,13,49,53
119,325,12,49,54
120,327,7,50,55
121,332,16,50,56
