frame,total_vehicles,queue_count,red_light_violations,rash_driving
1,4,10,0,1
2,9,12,1,2
3,10,7,1,3
4,13,9,2,4
5,16,5,3,4
6,16,16,4,5
7,18,18,5,5
8,19,5,6,5
9,24,8,6,6
10,25,4,6,7
11,29,0,7,8
12,34,2,7,8
13,34,5,7,8
14,37,18,7,8
15,41,10,7,8
16,45,19,7,8
17,46,15,7,8
18,51,0,7,8
19,55,9,7,8
20,59,0,7,8
21,59,1,7,8
22,60,4,7,8
23,65,17,7,8
24,69,3,7,9
25,70,2,8,9
26,75,5,8,9
27,76,17,8,9
28,79,14,8,9
29,83,13,9,9
30,83,0,9,9
31,83,0,10,10
32,85,4,10,10
33,88,19,10,11
34,92,5,11,11
35,94,7,12,11
36,99,7,12,12
37,99,7,12,12
38,102,16,12,13
39,105,15,12,13
40,110,12,13,14
41,113,10,14,15
42,114,0,14,16
43,115,13,15,17
44,119,0,15,18
45,121,9,15,18
46,124,2,16,19
47,124,3,17,19
48,127,9,18,20
49,127,20,18,20
50,129,17,19,21
51,130,10,19,21
52,130,16,20,22
53,130,5,20,23
54,132,16,21,24
55,136,13,22,24
56,138,19,23,24
57,143,20,24,24
58,145,7,25,24
59,145,19,26,25
60,148,6,26,25
61,148,16,26,26
62,148,17,27,26
63,151,18,28,26
64,154,14,29,27
65,156,20,30,27
66,158,15,30,27
67,162,4,30,27
68,165,10,31,27
69,169,6,32,28
70,169,15,33,28
71,172,13,34,28
72,174,19,34,29
73,175,9,34,30
74,176,14,34,31
75,179,10,34,31
76,183,4,35,32
77,186,4,36,33
78,187,9,36,34
79,190,18,37,35
80,193,1,38,36
81,195,7,38,37
82,198,17,38,38
83,202,17,38,39
84,206,17,38,39
85,210,15,39,40
86,212,15,40,40
87,213,10,40,40
88,217,3,41,41
89,219,17,41,41
90,220,3,41,41
91,223,18,41,41
92,223,11,42,42
93,226,9,42,43
94,229,13,43,44
95,232,19,44,45
96,236,18,45,46
97,238,2,46,46
98,242,1,46,47
99,244,18,46,48
100,249,20,46,49
101,251,16,46,50
102,254,4,47,51
103,256,10,48,51
104,260,8,49,51
105,263,11,49,51
106,263,2,50,51
107,264,15,50,52
108,264,16,51,53
109,268,13,51,54
110,273,15,52,54
111,273,15,53,54
112,278,20,53,55
113,283,5,53,55
114,283,1,54,56
115,283,1,55,57
116,287,9,55,58
117,290,5,56,58
118,292,13,56,59
119,297,8,57,59
120,297,18,58,60
121,297,11,58,60
122,299,14,59,60
123,300,16,59,61
124,300,14,60,62
125,301,17,61,63
126,301,18,61,64
127,302,20,61,65
128,304,7,61,66
129,304,8,62,66
130,309,1,62,67
131,313,10,62,67
132,318,15,63,68
133,323,18,64,68
134,323,10,64,68
135,326,16,65,68
136,331,12,66,68
137,334,4,66,68
138,338,3,66,69
139,343,20,66,70
140,344,18,67,71
141,347,13,67,71
142,350,7,68,72
143,351,3,69,73
144,354,12,70,73
145,358,5,71,73
146,359,19,71,74
147,363,12,72,75
148,366,2,73,75
149,369,6,74,76
150,371,16,75,76
151,371,8,76,76
152,371,4,76,76
153,371,15,77,77
154,375,19,78,77
155,377,20,79,77
156,382,17,79,78
157,386,2,80,79
158,386,13,81,79
159,387,6,82,79
160,392,5,82,80
161,394,3,82,80
162,394,20,82,81
163,398,7,83,82
164,402,4,84,83
165,402,4,85,84
166,403,10,86,85
167,405,8,87,85
168,409,9,88,85
169,411,2,89,85
170,414,0,89,86
171,414,19,89,86
172,416,0,90,86
173,417,9,90,87
174,421,7,90,87
175,424,15,91,87
176,427,18,91,88
177,429,11,92,88
178,431,10,92,88
179,432,13,92,89
180,435,6,93,89
181,440,9,94,90
182,445,0,94,91
183,449,8,95,92
184,453,8,95,92
185,458,12,95,93
186,461,11,95,94
187,463,17,96,95
188,467,2,96,95
189,470,7,96,96
190,472,8,96,96
191,473,18,97,97
192,476,16,97,98
193,481,11,97,98
194,481,14,97,99
195,486,13,98,99
196,487,15,98,99
197,491,4,98,100
198,496,18,98,100
199,497,16,99,101
200,501,5,100,101
201,504,20,100,102
202,508,10,100,102
203,508,4,100,103
204,512,11,101,103
205,517,18,102,103
206,520,3,103,104
207,523,12,104,104
208,528,20,105,104
209,533,5,105,105
210,534,14,106,106
211,537,1,106,107
212,538,15,106,108
213,538,15,106,109
214,542,16,107,110
215,543,18,108,110
216,544,1,109,110
217,546,20,110,111
218,551,13,111,112
219,555,15,111,113
220,556,6,112,114
221,558,17,113,114
222,560,14,113,115
223,562,13,114,116
224,564,15,115,117
225,569,10,116,117
226,570,8,117,117
227,574,4,117,117
228,577,17,117,118
229,578,15,117,118
230,583,14,118,119
231,584,17,118,119
232,587,5,118,119
233,590,13,118,119
234,592,14,118,120
235,593,4,119,120
236,593,19,119,120
237,594,1,120,121
238,597,20,120,122
239,598,10,120,123
240,602,0,121,124
241,602,12,122,125
242,603,7,123,125
243,607,6,123,126
244,610,12,124,126
245,613,3,125,127
246,613,13,125,127
247,614,17,125,128
248,614,19,125,129
249,616,1,126,129
250,618,14,126,129
251,619,10,127,130
252,623,17,127,131
253,626,18,128,132
254,629,14,128,132
255,629,12,129,133
256,634,16,129,133
257,636,5,129,134
258,637,14,130,134
259,639,1,130,134
260,644,12,131,134
261,647,15,131,135
262,648,18,132,135
263,652,13,132,136
264,654,9,132,137
265,657,15,132,137
266,657,19,133,137
267,658,7,133,138
268,660,16,133,139
269,660,12,134,140
270,660,6,134,141
271,664,12,135,141
272,669,0,136,141
273,674,4,137,141
274,677,3,138,142
275,682,4,139,142
276,684,15,139,142
277,689,8,139,142
278,694,15,140,142
279,697,16,140,142
280,701,1,141,143
281,703,20,141,144
282,708,3,141,145
283,713,2,141,145
284,713,14,141,145
285,716,5,141,145
286,716,9,142,146
287,721,5,143,146
288,722,7,143,146
289,725,14,144,146
290,726,20,145,147
291,731,3,145,148
292,736,13,145,148
293,741,9,146,149
294,741,12,146,149
295,745,12,146,149
296,746,10,146,149
297,748,16,147,149
298,750,2,148,150
299,752,4,148,150
300,757,9,149,151
301,757,2,150,152
302,759,14,150,152
303,762,0,150,153
304,762,7,150,153
305,764,8,150,153
306,764,4,150,153
307,766,10,151,153
308,768,9,152,154
309,772,1,152,154
310,774,13,153,154
311,774,18,154,155
312,774,5,155,155
313,779,0,156,156
314,783,13,156,156
315,785,8,156,156
316,790,11,156,156
317,795,12,157,157
318,799,13,158,157
319,802,19,159,158
320,804,20,160,158
321,804,14,160,159
322,808,17,161,159
323,810,18,162,160
324,810,11,162,160
325,813,13,163,161
326,816,7,163,162
327,819,4,163,162
328,819,16,163,162
329,824,19,163,162
330,828,17,163,162
331,828,1,163,162
332,833,20,164,163
333,837,3,165,164
334,840,6,166,164
335,843,18,167,165
336,847,13,168,165
337,852,9,168,166
338,853,1,169,167
339,858,9,170,167
340,862,4,170,167
341,866,12,171,167
342,866,15,172,167
343,871,9,173,168
344,872,4,174,168
345,872,5,175,169
346,877,4,175,170
347,881,7,176,171
348,885,13,176,172
349,888,15,176,172
350,892,3,176,173
351,893,20,177,173
352,893,2,178,174
353,898,16,178,175
354,898,4,179,176
355,898,5,180,177
356,898,10,181,178
357,902,19,181,178
358,907,8,181,179
359,911,5,181,179
360,911,4,181,180
361,914,11,182,181
362,916,9,182,182
363,921,16,183,182
364,921,14,183,183
365,925,14,184,184
366,927,0,184,185
367,929,16,184,186
368,932,16,184,187
369,936,20,185,188
370,941,20,185,189
371,941,8,185,190
372,945,8,185,190
373,945,14,186,191
374,950,11,186,192
375,954,19,186,192
376,956,10,186,192
377,957,7,186,193
378,958,15,186,193
379,963,8,186,193
380,966,3,186,193
381,968,16,186,193
382,969,1,186,193
383,971,1,187,193
384,974,11,188,193
385,978,8,189,194
386,983,19,189,195
387,988,18,189,196
388,988,0,190,196
389,988,11,191,196
390,993,2,192,196
391,994,5,193,196
392,996,9,193,196
393,998,17,193,196
394,998,6,194,197
395,999,3,194,197
396,1001,17,195,198
397,1006,18,196,199
