frame,total_vehicles,queue_count,red_light_violations,rash_driving
1,5,14,1,1
2,10,20,2,1
3,14,16,2,2
4,14,19,2,3
5,18,10,2,4
6,18,10,2,5
7,22,15,2,6
8,26,1,2,6
9,27,19,2,7
10,31,12,2,7
11,34,19,2,8
12,35,15,2,9
13,35,6,2,9
14,36,6,2,10
15,40,14,3,10
16,43,18,4,10
17,46,10,5,11
18,50,0,6,12
19,53,10,7,12
20,53,9,8,12
21,57,7,8,12
22,59,15,8,12
23,63,8,8,13
24,65,19,9,14
25,65,6,9,14
26,67,1,10,14
27,68,18,11,14
28,68,12,11,14
29,68,6,12,15
30,69,13,13,15
31,69,2,14,15
32,69,3,14,15
33,74,3,14,16
34,76,15,15,16
35,80,3,16,16
36,81,0,16,16
37,84,0,17,16
38,86,19,17,17
39,90,16,18,18
40,90,9,19,19
41,92,7,20,19
42,94,11,21,19
43,94,6,22,19
44,96,1,23,19
45,96,9,24,20
46,96,5,25,20
47,100,5,25,20
48,100,0,26,21
49,102,19,27,22
50,103,8,27,22
51,107,1,28,23
52,110,4,29,23
53,112,17,30,23
54,115,4,31,23
55,119,0,32,23
56,119,0,33,23
57,121,17,33,23
58,122,20,33,24
59,125,2,33,24
60,127,17,33,25
61,130,11,34,25
62,135,16,35,26
63,136,6,36,27
64,138,15,36,28
65,143,19,36,28
66,147,15,37,29
67,147,0,38,29
68,149,15,38,29
69,149,13,38,29
70,153,7,38,30
71,156,3,38,30
72,156,10,38,31
73,160,17,39,31
74,163,1,39,31
75,165,3,40,31
76,167,6,41,31
77,172,10,41,32
78,176,3,42,32
79,177,4,42,33
80,182,14,42,34
81,182,1,42,34
82,184,2,43,35
83,184,13,44,35
84,187,9,44,36
85,192,17,45,36
86,192,12,46,36
87,192,19,47,37
88,197,20,48,37
89,202,19,48,38
90,206,14,48,39
91,210,4,49,39
92,211,18,50,39
93,212,4,50,40
94,215,12,50,41
95,218,2,51,41
96,223,6,51,42
97,226,1,51,42
98,227,6,52,42
99,231,18,53,42
100,236,16,53,43
101,236,8,54,44
102,238,16,54,45
103,240,15,54,45
104,244,16,55,46
105,245,11,56,46
106,246,14,57,46
107,246,14,58,47
108,249,15,58,47
109,253,8,59,47
110,253,3,59,47
111,256,6,60,47
112,259,8,60,48
113,264,1,60,48
114,264,5,60,48
115,264,6,60,48
116,267,12,61,48
117,269,13,61,48
118,272,6,62,48
119,273,13,62,49
120,275,3,62,50
121,275,20,63,50
122,279,5,64,51
123,282,18,65,52
124,285,8,65,53
125,288,0,66,54
126,293,7,66,54
127,295,13,66,55
128,295,18,67,56
129,299,15,68,56
130,301,12,69,57
131,306,17,70,58
132,306,18,71,58
133,309,18,72,58
134,309,1,73,59
135,310,1,74,59
136,312,3,74,59
137,315,15,74,60
138,320,12,74,61
139,323,4,75,62
140,326,16,76,63
141,326,5,77,64
142,331,16,77,64
143,332,6,78,64
144,335,5,78,64
145,337,2,78,65
146,340,1,79,66
147,342,16,79,67
148,342,20,79,68
149,345,14,80,68
150,347,19,80,69
151,348,1,80,69
152,352,0,81,69
153,353,5,81,70
154,353,15,81,71
155,357,3,81,71
156,361,16,82,71
157,364,20,82,71
158,365,17,83,72
159,370,3,83,72
160,374,18,83,72
161,377,2,84,72
162,381,15,85,72
163,383,15,86,73
164,388,16,87,73
165,392,13,88,74
166,394,9,89,75
167,399,18,89,76
168,403,4,90,76
169,408,16,90,76
170,408,12,90,76
171,413,0,90,77
172,416,7,91,77
173,417,11,91,78
174,421,1,92,79
175,423,13,92,80
176,426,7,92,80
177,428,4,92,80
178,432,19,93,80
179,433,13,93,81
180,433,6,93,82
181,435,2,93,83
182,435,16,93,83
183,438,5,94,84
184,440,19,94,85
185,445,16,95,85
186,446,12,96,86
187,449,1,97,86
188,451,8,97,87
189,453,15,97,87
190,455,3,98,88
191,458,13,99,89
192,460,7,100,89
193,461,18,100,89
194,464,5,100,90
195,467,1,100,90
196,469,2,101,91
197,473,0,101,91
198,474,15,102,92
199,477,7,102,93
200,482,13,103,94
201,484,7,104,94
202,484,4,105,95
203,488,10,106,95
204,492,20,106,96
205,496,6,106,96
206,501,1,106,97
207,505,19,106,97
208,506,2,107,98
209,508,15,108,98
210,513,16,108,98
211,515,11,108,98
212,515,8,109,98
213,516,12,110,98
214,516,3,110,98
215,521,6,110,99
216,523,14,111,100
217,525,18,111,101
218,525,19,111,102
219,526,19,111,103
220,531,11,112,103
221,536,1,112,103
222,540,19,113,104
223,540,9,113,105
224,543,19,113,105
225,546,13,114,105
226,548,14,115,105
227,553,5,116,106
