frame,total_vehicles,queue_count,red_light_violations,rash_driving
1,0,5,1,1
2,1,0,2,1
3,4,11,2,2
4,8,14,3,2
5,9,16,4,2
6,14,0,5,2
7,15,2,5,3
8,17,15,6,4
9,20,0,6,4
10,21,5,6,5
11,23,13,6,5
12,25,1,6,6
13,30,9,7,6
14,35,9,8,7
15,40,18,8,8
16,42,13,8,8
17,47,4,8,9
18,50,8,9,10
19,50,3,10,10
20,55,14,11,10
21,55,19,11,10
22,59,19,12,10
23,64,10,12,10
24,66,8,12,10
25,66,20,13,10
26,68,7,14,10
27,71,1,15,11
28,74,7,16,12
29,77,4,17,12
30,78,18,18,12
31,82,17,19,13
32,83,0,19,14
33,83,12,20,14
34,87,11,21,14
35,89,8,21,14
36,89,3,22,14
37,94,3,23,15
38,98,19,23,16
39,100,8,24,16
40,102,10,24,17
41,104,9,24,17
42,104,2,24,17
43,104,13,25,18
44,107,9,25,18
45,109,2,25,18
46,111,8,25,18
47,116,2,26,18
48,120,8,27,19
49,123,19,27,19
50,125,5,28,20
51,129,7,29,21
52,132,5,30,21
53,132,13,31,22
54,136,0,31,23
55,140,18,31,24
56,142,11,31,25
57,145,20,32,26
58,146,16,32,26
59,146,14,32,26
60,148,16,32,27
61,151,8,33,28
62,156,13,34,29
63,159,12,34,29
64,162,8,35,30
65,164,20,35,30
66,169,3,35,31
67,173,20,35,32
68,175,9,35,32
69,175,9,36,33
70,179,14,37,33
71,179,5,38,33
72,180,7,38,33
73,180,12,38,34
74,185,11,38,35
75,185,19,39,35
76,190,8,39,35
77,193,17,40,36
78,198,8,41,36
79,199,9,42,37
80,201,4,42,37
81,203,14,42,38
82,204,2,42,38
83,209,3,43,38
84,211,11,43,38
85,216,0,43,38
86,220,3,44,38
87,222,6,45,38
88,226,9,46,38
89,230,19,47,39
90,231,4,47,40
91,231,7,47,41
92,233,6,47,41
93,234,15,47,41
94,234,8,47,41
95,236,12,47,41
96,239,7,47,42
97,244,18,48,43
98,246,0,49,44
99,251,7,49,45
100,255,19,49,46
101,257,4,50,47
102,258,9,50,48
103,263,12,51,48
104,268,9,52,48
105,271,19,52,49
106,272,8,53,50
107,275,17,54,51
108,275,6,54,52
109,275,2,55,53
110,278,5,56,53
111,280,17,57,53
112,284,8,57,54
113,285,14,57,55
114,285,10,57,56
115,288,2,57,56
116,291,4,57,57
117,293,8,58,58
118,293,6,59,59
119,293,8,59,59
120,297,15,59,59
121,298,2,59,60
122,302,1,59,60
123,304,12,59,61
124,304,13,59,62
125,307,10,60,63
126,308,19,60,63
127,313,0,61,63
128,316,4,62,64
129,316,2,62,64
130,319,8,63,64
131,319,20,64,64
132,319,15,64,65
133,321,10,64,66
134,321,9,65,66
135,326,5,65,67
136,326,14,66,68
137,330,18,67,68
138,334,12,67,69
139,336,0,68,70
140,340,11,68,71
141,341,4,68,71
142,341,20,69,71
143,345,20,70,72
144,348,12,70,73
145,350,1,70,73
146,353,14,71,74
147,355,14,71,75
148,355,18,71,76
149,359,13,72,76
150,364,15,72,77
151,368,9,72,77
152,371,12,72,77
153,374,14,72,77
154,379,19,73,77
155,382,10,73,77
156,386,19,74,77
157,387,15,75,78
158,390,17,76,79
159,393,1,77,79
160,398,1,78,79
161,400,11,78,79
162,405,8,78,80
163,409,2,79,80
164,414,9,79,80
165,417,18,79,81
166,418,12,80,82
167,422,16,80,83
168,424,0,80,83
169,427,8,80,83
170,432,11,80,84
171,434,11,81,84
172,437,13,81,84
173,440,1,81,84
174,441,17,82,85
175,446,16,82,86
176,451,14,82,86
177,454,3,82,87
178,459,2,83,87
179,464,11,84,88
180,467,6,84,89
181,470,18,84,90
182,470,20,84,91
183,475,6,85,92
184,475,0,86,93
185,478,14,87,93
186,478,9,88,94
187,483,0,88,95
188,485,14,88,95
189,485,4,89,96
190,489,7,89,96
191,490,13,89,97
192,490,8,89,97
193,491,13,90,98
194,494,16,91,99
195,497,0,91,99
196,501,5,91,99
197,502,0,91,100
198,503,3,92,100
199,504,10,93,100
200,505,9,93,101
201,510,11,93,102
202,514,14,93,102
203,519,17,94,103
204,520,2,95,103
205,520,7,96,104
206,525,1,96,105
207,528,4,96,105
208,530,9,96,105
209,530,4,97,106
210,531,4,98,107
211,531,14,98,108
212,531,2,99,109
213,532,4,100,109
214,537,2,100,109
215,537,6,101,109
216,542,11,101,110
217,547,5,101,111
218,547,5,102,111
219,549,11,103,112
220,553,16,104,112
221,556,11,104,112
222,561,6,105,112
223,563,11,106,113
224,567,10,106,113
225,569,14,106,113
226,569,14,107,113
227,569,14,108,114
228,574,18,108,115
229,577,18,108,115
230,581,11,109,115
231,581,0,109,116
232,585,14,110,116
233,585,20,110,117
234,587,5,111,117
235,590,15,111,118
236,595,17,111,118
237,600,18,112,119
238,601,5,113,119
239,605,8,114,120
240,610,11,114,121
241,615,10,115,122
242,620,15,116,123
243,620,16,116,123
244,624,18,116,123
245,627,17,117,123
246,631,10,118,123
247,634,0,119,124
248,639,8,119,124
249,643,5,120,124
250,645,8,120,124
251,650,12,120,124
252,653,1,120,125
253,653,9,120,126
254,653,1,120,126
255,658,15,120,127
256,659,6,120,127
257,664,6,120,127
258,668,0,120,127
259,673,15,121,128
260,678,9,121,129
261,681,18,121,130
262,681,12,122,131
263,683,7,122,131
264,688,11,122,131
265,691,13,122,131
266,695,3,122,131
267,698,1,122,131
268,698,8,123,132
269,703,15,124,133
270,704,16,124,134
271,709,1,124,134
272,711,5,125,135
273,716,16,125,135
274,717,6,125,135
275,719,2,126,136
276,722,1,127,137
277,725,2,128,137
278,725,6,129,137
279,726,17,129,137
280,731,9,129,137
281,733,2,130,137
282,734,14,130,137
283,736,10,131,137
284,739,20,132,138
285,744,2,132,139
286,744,18,133,140
287,748,14,133,140
288,751,3,133,141
289,753,5,133,142
290,755,6,134,142
291,755,20,134,143
292,760,18,135,144
293,760,11,136,144
294,764,4,136,145
295,768,5,136,145
296,773,15,137,145
297,775,6,138,146
298,776,10,138,147
299,780,8,138,148
300,783,5,138,148
301,783,7,139,149
302,787,16,140,150
303,787,14,140,151
304,792,4,141,152
305,794,10,142,153
306,797,10,142,154
307,798,15,142,154
308,802,11,143,154
309,805,14,144,155
310,808,10,144,155
311,809,17,144,155
312,814,19,145,155
313,816,15,145,155
314,816,9,145,155
315,816,9,146,156
316,821,19,147,156
317,822,8,147,156
318,825,12,148,157
319,827,1,149,157
320,828,15,150,158
321,832,16,151,159
322,833,13,152,159
323,836,10,153,160
324,840,20,154,160
325,843,0,154,160
326,847,3,154,160
327,850,0,154,160
328,854,6,155,160
