frame,total_vehicles,queue_count,red_light_violations,rash_driving
1,0,6,0,1
2,5,2,0,1
3,5,12,0,1
4,5,13,0,1
5,7,18,0,1
6,8,6,1,2
7,13,13,1,3
8,13,1,1,4
9,15,20,2,5
10,19,8,3,6
11,19,19,3,7
12,22,12,3,8
13,24,14,4,9
14,26,3,4,10
15,30,13,5,11
16,33,3,6,11
17,37,20,7,12
18,39,9,7,13
19,44,5,8,13
20,48,20,9,13
21,50,20,9,13
22,50,6,10,14
23,52,20,10,14
24,53,10,10,14
25,56,12,10,14
26,61,20,11,15
27,65,16,12,15
28,67,20,12,16
29,72,3,12,17
30,76,17,12,17
31,80,5,12,17
32,81,11,12,17
33,84,10,13,18
34,84,12,14,19
35,88,14,14,20
36,90,20,15,21
37,94,4,16,21
38,95,20,16,22
39,100,17,17,22
40,102,5,17,22
41,105,0,18,23
42,106,9,19,24
43,110,1,20,25
44,115,12,21,25
45,119,11,21,25
46,120,3,21,25
47,121,3,21,25
48,126,6,21,26
49,126,16,21,27
50,131,10,21,28
51,134,4,22,28
52,134,16,23,29
53,136,12,24,29
54,137,20,24,29
55,140,18,25,30
56,140,7,26,31
57,140,12,27,31
58,143,1,28,32
59,144,14,29,32
60,147,1,30,33
61,148,7,30,34
62,149,17,31,34
63,151,4,32,35
64,153,15,33,35
65,156,1,34,36
66,158,2,34,37
67,163,7,34,38
68,168,3,35,38
69,168,18,36,38
70,170,4,36,38
71,172,19,36,39
72,176,1,37,39
73,180,12,38,39
74,185,17,39,39
75,188,14,39,40
76,189,17,40,40
77,191,13,40,40
78,193,16,40,40
79,198,15,41,41
80,201,19,41,41
81,204,13,41,41
82,205,10,42,41
83,205,11,43,41
84,208,12,43,42
85,209,17,44,43
86,210,3,44,44
87,214,18,45,45
88,214,4,45,45
89,216,9,45,45
90,218,1,45,46
91,223,14,45,47
92,227,4,45,47
93,227,20,46,48
94,232,19,47,48
95,233,16,48,48
96,235,8,49,48
97,239,3,50,49
98,244,18,50,49
99,246,18,51,50
100,251,4,52,51
101,255,4,52,52
102,256,13,52,53
103,259,8,52,53
104,261,7,52,53
105,261,1,53,53
106,264,6,53,53
107,264,1,54,54
108,268,15,54,54
109,271,0,54,54
110,274,18,55,55
111,276,4,55,56
112,280,8,56,56
113,281,14,57,56
114,281,9,58,57
115,286,7,58,58
116,291,3,58,58
117,295,15,58,59
118,300,14,59,60
119,302,10,60,61
120,303,20,60,61
121,305,17,61,61
122,308,4,61,61
123,311,3,61,61
124,314,15,61,61
125,316,15,62,62
126,320,3,62,62
127,325,12,62,63
128,326,7,62,63
129,327,17,63,64
130,329,5,63,65
131,333,11,64,65
132,335,1,65,66
133,338,3,66,67
134,342,4,66,67
135,343,15,67,68
136,343,13,68,69
137,345,11,68,70
138,346,2,69,71
139,349,14,69,71
140,351,6,70,71
141,355,10,70,71
142,355,0,71,72
143,356,2,71,73
144,358,8,72,74
145,360,6,73,74
146,365,5,74,75
147,365,16,74,75
148,370,19,75,75
149,372,17,75,75
150,375,2,75,75
151,377,5,75,75
152,378,5,76,76
153,380,8,77,77
154,383,15,77,77
155,386,1,77,77
156,391,16,78,78
157,396,13,79,78
158,396,17,80,79
159,396,18,80,80
160,397,5,81,80
161,399,2,82,80
162,399,2,83,81
163,401,7,84,82
164,401,16,84,83
165,405,4,84,83
166,410,14,84,84
167,413,15,85,84
168,418,12,85,85
169,418,17,86,86
170,423,0,87,86
171,428,13,87,86
172,430,0,88,86
173,434,12,88,87
174,438,18,88,88
175,438,3,88,89
176,443,19,89,90
177,447,8,90,90
178,451,1,90,90
179,455,10,90,90
180,459,1,91,91
181,459,20,91,91
182,463,14,92,92
183,465,16,93,93
184,469,1,93,94
185,471,5,94,94
186,472,12,95,94
187,473,17,95,94
188,475,9,95,95
189,480,20,96,96
190,482,16,97,96
191,482,5,97,96
192,485,18,97,97
193,488,16,98,98
194,490,0,98,99
195,491,9,99,99
196,492,0,100,100
197,492,3,100,100
198,496,3,101,100
199,496,13,101,101
200,499,12,102,102
201,504,6,102,102
202,505,11,102,103
